scheme,scheme_id,round,mean_accuracy,std_accuracy,mean_loss,std_loss
ML-DSA-65,ML-DSA-65,26,0.72061,0.006624441276230197,1.1181469832515716,0.02749751315203914
ML-DSA-65,ML-DSA-65,27,0.72009,0.005556867622840959,1.15030479804039,0.022674476907569553
ML-DSA-65,ML-DSA-65,28,0.72131,0.007089185817536143,1.1835505978584289,0.03165261554044894
ML-DSA-65,ML-DSA-65,29,0.72181,0.005259372586155162,1.233351199235916,0.026120519777657544
ML-DSA-65,ML-DSA-65,30,0.72151,0.004775271952697793,1.2693840922832489,0.029804220299932037
ML-DSA-87,ML-DSA-87,0,0.10103,0.006084780649748645,2.30310250667572,0.0007815340706910088
ML-DSA-87,ML-DSA-87,1,0.17355,0.03637722883587723,2.193948080558777,0.06299962189494063
ML-DSA-87,ML-DSA-87,2,0.45504,0.019052162315309207,1.5290482118225097,0.03235578317547336
ML-DSA-87,ML-DSA-87,3,0.55034,0.015035823888300893,1.2887096625328065,0.029624683864292768
ML-DSA-87,ML-DSA-87,4,0.5991799999999999,0.016965769458923276,1.1516565004348753,0.03784084223682359
ML-DSA-87,ML-DSA-87,5,0.63544,0.009694236546640608,1.0516662795448304,0.020609181169286103
ML-DSA-87,ML-DSA-87,6,0.6615800000000001,0.007132990645974212,0.9845190284824372,0.020499799724004602
ML-DSA-87,ML-DSA-87,7,0.67769,0.008074713617212691,0.9357293410396575,0.019033768748672294
ML-DSA-87,ML-DSA-87,8,0.69116,0.00762571672405655,0.8975283381652831,0.017306089157206606
ML-DSA-87,ML-DSA-87,9,0.70177,0.006564221202854117,0.8712673581886291,0.019930539955126603
ML-DSA-87,ML-DSA-87,10,0.70702,0.005086321526080181,0.8560750821781159,0.015932893352011816
ML-DSA-87,ML-DSA-87,11,0.71303,0.005678037610927861,0.8437731568241119,0.015852066507714233
ML-DSA-87,ML-DSA-87,12,0.7175900000000001,0.005468587061064753,0.8367791954612732,0.014746028227480048
ML-DSA-87,ML-DSA-87,13,0.71966,0.005038341878920975,0.8312634126186371,0.013934477498160793
ML-DSA-87,ML-DSA-87,14,0.72061,0.006493150236980539,0.8359694798564912,0.014003948051937973
ML-DSA-87,ML-DSA-87,15,0.72195,0.0050979843511376475,0.8424932301902771,0.01425156407870833
ML-DSA-87,ML-DSA-87,16,0.7225400000000001,0.006023693957107117,0.8571241172504426,0.016123183427976934
ML-DSA-87,ML-DSA-87,17,0.72182,0.005211909438967585,0.86885728805542,0.015908059175717592
ML-DSA-87,ML-DSA-87,18,0.72037,0.0050839726373946405,0.8921187481403351,0.01907110093582692
ML-DSA-87,ML-DSA-87,19,0.72157,0.005845805713881082,0.9092434086322785,0.015371640949475036
ML-DSA-87,ML-DSA-87,20,0.72195,0.004424992153163162,0.9347969169044494,0.017096840422175838
ML-DSA-87,ML-DSA-87,21,0.72136,0.0045644033320662745,0.9592110891199113,0.021356245913626382
ML-DSA-87,ML-DSA-87,22,0.72188,0.0041515191329332965,0.9912538673448562,0.023979946931791642
ML-DSA-87,ML-DSA-87,23,0.72116,0.005997999666555516,1.0200535040140153,0.0214341522239589
ML-DSA-87,ML-DSA-87,24,0.72187,0.006667841563138034,1.0553124895191193,0.022647021656007186
ML-DSA-87,ML-DSA-87,25,0.7197199999999999,0.005745490985691895,1.1015980701732635,0.02968964298238074
ML-DSA-87,ML-DSA-87,26,0.7207399999999999,0.006739963732180723,1.1225562283229826,0.03052436468809783
ML-DSA-87,ML-DSA-87,27,0.7203700000000001,0.006577072972750814,1.1647984199523926,0.03441372655420536
ML-DSA-87,ML-DSA-87,28,0.72085,0.006060115510450303,1.1989993374443055,0.023277297654483838
ML-DSA-87,ML-DSA-87,29,0.71889,0.006069678739439165,1.2373617114543916,0.02357616737147599
